 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 19, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Carbon.txt

 Ion = Krypton [36] , Mass = 78 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   1.914E+01  8.578E-01    3.11 um     1691 A      2064 A   
  10.00 MeV   2.055E+01  7.931E-01    3.32 um     1743 A      2133 A   
  11.00 MeV   2.192E+01  7.384E-01    3.52 um     1788 A      2192 A   
  12.00 MeV   2.326E+01  6.914E-01    3.71 um     1827 A      2245 A   
  13.00 MeV   2.456E+01  6.506E-01    3.89 um     1861 A      2291 A   
  14.00 MeV   2.581E+01  6.148E-01    4.07 um     1891 A      2333 A   
  15.00 MeV   2.702E+01  5.830E-01    4.23 um     1918 A      2371 A   
  16.00 MeV   2.819E+01  5.547E-01    4.39 um     1942 A      2405 A   
  17.00 MeV   2.931E+01  5.292E-01    4.54 um     1963 A      2436 A   
  18.00 MeV   3.038E+01  5.062E-01    4.68 um     1983 A      2465 A   
  20.00 MeV   3.237E+01  4.662E-01    4.96 um     2038 A      2516 A   
  22.50 MeV   3.462E+01  4.250E-01    5.29 um     2105 A      2571 A   
  25.00 MeV   3.659E+01  3.910E-01    5.59 um     2163 A      2617 A   
  27.50 MeV   3.833E+01  3.624E-01    5.89 um     2213 A      2658 A   
  30.00 MeV   3.986E+01  3.381E-01    6.17 um     2258 A      2694 A   
  32.50 MeV   4.120E+01  3.170E-01    6.44 um     2299 A      2727 A   
  35.00 MeV   4.238E+01  2.987E-01    6.70 um     2337 A      2756 A   
  37.50 MeV   4.341E+01  2.825E-01    6.96 um     2371 A      2783 A   
  40.00 MeV   4.432E+01  2.681E-01    7.21 um     2404 A      2808 A   
  45.00 MeV   4.582E+01  2.436E-01    7.70 um     2512 A      2854 A   
  50.00 MeV   4.699E+01  2.235E-01    8.18 um     2610 A      2894 A   
  55.00 MeV   4.790E+01  2.066E-01    8.64 um     2699 A      2930 A   
  60.00 MeV   4.862E+01  1.923E-01    9.10 um     2783 A      2963 A   
  65.00 MeV   4.918E+01  1.800E-01    9.55 um     2861 A      2994 A   
  70.00 MeV   4.962E+01  1.693E-01   10.00 um     2936 A      3023 A   
  80.00 MeV   5.022E+01  1.515E-01   10.88 um     3202 A      3076 A   
  90.00 MeV   5.057E+01  1.373E-01   11.76 um     3442 A      3124 A   
 100.00 MeV   5.075E+01  1.257E-01   12.63 um     3665 A      3169 A   
 110.00 MeV   5.082E+01  1.160E-01   13.51 um     3873 A      3212 A   
 120.00 MeV   5.079E+01  1.078E-01   14.38 um     4070 A      3252 A   
 130.00 MeV   5.071E+01  1.008E-01   15.25 um     4259 A      3290 A   
