 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 01, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Lead.txt

 Ion = Rubidium [37] , Mass = 84.91 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   3.591E+00  4.212E-01    2.27 um     7126 A      6817 A   
  10.00 MeV   3.938E+00  3.936E-01    2.46 um     7383 A      7170 A   
  11.00 MeV   4.269E+00  3.699E-01    2.63 um     7603 A      7482 A   
  12.00 MeV   4.584E+00  3.491E-01    2.79 um     7794 A      7761 A   
  13.00 MeV   4.883E+00  3.309E-01    2.95 um     7962 A      8012 A   
  14.00 MeV   5.167E+00  3.147E-01    3.10 um     8110 A      8240 A   
  15.00 MeV   5.435E+00  3.002E-01    3.24 um     8243 A      8447 A   
  16.00 MeV   5.691E+00  2.872E-01    3.38 um     8362 A      8638 A   
  17.00 MeV   5.933E+00  2.753E-01    3.51 um     8470 A      8815 A   
  18.00 MeV   6.164E+00  2.645E-01    3.64 um     8569 A      8979 A   
  20.00 MeV   6.594E+00  2.456E-01    3.89 um     8746 A      9274 A   
  22.50 MeV   7.082E+00  2.258E-01    4.18 um     8934 A      9596 A   
  25.00 MeV   7.525E+00  2.093E-01    4.46 um     9092 A      9877 A   
  27.50 MeV   7.932E+00  1.952E-01    4.72 um     9229 A      1.01 um  
  30.00 MeV   8.310E+00  1.831E-01    4.97 um     9349 A      1.03 um  
  32.50 MeV   8.663E+00  1.726E-01    5.22 um     9454 A      1.05 um  
  35.00 MeV   8.997E+00  1.633E-01    5.45 um     9549 A      1.07 um  
  37.50 MeV   9.313E+00  1.551E-01    5.68 um     9634 A      1.09 um  
  40.00 MeV   9.615E+00  1.477E-01    5.90 um     9711 A      1.11 um  
  45.00 MeV   1.018E+01  1.351E-01    6.33 um     9855 A      1.13 um  
  50.00 MeV   1.071E+01  1.247E-01    6.74 um     9978 A      1.16 um  
  55.00 MeV   1.120E+01  1.158E-01    7.13 um     1.01 um     1.18 um  
  60.00 MeV   1.166E+01  1.083E-01    7.50 um     1.02 um     1.20 um  
  65.00 MeV   1.209E+01  1.018E-01    7.86 um     1.03 um     1.22 um  
  70.00 MeV   1.250E+01  9.603E-02    8.21 um     1.03 um     1.23 um  
  80.00 MeV   1.326E+01  8.645E-02    8.88 um     1.05 um     1.26 um  
  90.00 MeV   1.393E+01  7.875E-02    9.52 um     1.06 um     1.29 um  
 100.00 MeV   1.453E+01  7.241E-02   10.13 um     1.07 um     1.31 um  
 110.00 MeV   1.507E+01  6.709E-02   10.71 um     1.08 um     1.33 um  
 120.00 MeV   1.556E+01  6.255E-02   11.28 um     1.09 um     1.35 um  
 130.00 MeV   1.598E+01  5.864E-02   11.84 um     1.10 um     1.36 um  
 140.00 MeV   1.637E+01  5.522E-02   12.37 um     1.11 um     1.38 um  
 150.00 MeV   1.671E+01  5.221E-02   12.90 um     1.11 um     1.39 um  
 160.00 MeV   1.701E+01  4.953E-02   13.42 um     1.12 um     1.40 um  
 170.00 MeV   1.727E+01  4.714E-02   13.93 um     1.13 um     1.42 um  
 180.00 MeV   1.760E+01  4.498E-02   14.43 um     1.13 um     1.43 um  
 200.00 MeV   1.805E+01  4.125E-02   15.41 um     1.15 um     1.45 um  
 225.00 MeV   1.843E+01  3.743E-02   16.62 um     1.17 um     1.47 um  
 250.00 MeV   1.868E+01  3.430E-02   17.80 um     1.19 um     1.49 um  
 275.00 MeV   1.883E+01  3.169E-02   18.97 um     1.20 um     1.51 um  
 300.00 MeV   1.890E+01  2.947E-02   20.13 um     1.22 um     1.53 um  
 325.00 MeV   1.890E+01  2.756E-02   21.29 um     1.24 um     1.55 um  
 339.64 MeV   1.888E+01  2.656E-02   21.97 um     1.24 um     1.56 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.1343E+02                 eV / Angstrom 
  1.1343E+03                keV / micron   
  1.1343E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.4404E+02                 eV / (1E15 atoms/cm2)
  2.5242E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
