 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\cd106_in_si14.txt

 Ion = Cadmium [48] , Mass = 113.903 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   1.344E+01  1.729E+00    3.50 um     3381 A      3832 A   
  10.00 MeV   1.449E+01  1.609E+00    3.77 um     3499 A      4017 A   
  11.00 MeV   1.545E+01  1.507E+00    4.03 um     3601 A      4182 A   
  12.00 MeV   1.634E+01  1.418E+00    4.27 um     3690 A      4331 A   
  13.00 MeV   1.716E+01  1.340E+00    4.51 um     3769 A      4465 A   
  14.00 MeV   1.792E+01  1.272E+00    4.73 um     3840 A      4587 A   
  15.00 MeV   1.863E+01  1.210E+00    4.95 um     3905 A      4700 A   
  16.00 MeV   1.929E+01  1.155E+00    5.16 um     3963 A      4804 A   
  17.00 MeV   1.990E+01  1.106E+00    5.37 um     4017 A      4901 A   
  18.00 MeV   2.047E+01  1.061E+00    5.57 um     4067 A      4992 A   
  20.00 MeV   2.152E+01  9.818E-01    5.96 um     4175 A      5157 A   
  22.50 MeV   2.267E+01  8.997E-01    6.42 um     4302 A      5340 A   
  25.00 MeV   2.370E+01  8.316E-01    6.86 um     4413 A      5501 A   
  27.50 MeV   2.464E+01  7.739E-01    7.29 um     4511 A      5645 A   
  30.00 MeV   2.550E+01  7.245E-01    7.71 um     4600 A      5776 A   
  32.50 MeV   2.631E+01  6.816E-01    8.11 um     4681 A      5896 A   
  35.00 MeV   2.708E+01  6.439E-01    8.50 um     4754 A      6007 A   
  37.50 MeV   2.781E+01  6.105E-01    8.88 um     4823 A      6109 A   
  40.00 MeV   2.851E+01  5.808E-01    9.26 um     4886 A      6204 A   
  45.00 MeV   2.985E+01  5.299E-01    9.98 um     5051 A      6377 A   
  50.00 MeV   3.113E+01  4.879E-01   10.67 um     5197 A      6530 A   
  55.00 MeV   3.235E+01  4.525E-01   11.34 um     5326 A      6668 A   
  60.00 MeV   3.352E+01  4.224E-01   11.98 um     5443 A      6792 A   
  65.00 MeV   3.466E+01  3.963E-01   12.60 um     5549 A      6906 A   
  70.00 MeV   3.576E+01  3.735E-01   13.21 um     5646 A      7010 A   
  80.00 MeV   3.785E+01  3.355E-01   14.37 um     5932 A      7195 A   
  90.00 MeV   3.981E+01  3.051E-01   15.46 um     6176 A      7356 A   
 100.00 MeV   4.165E+01  2.801E-01   16.51 um     6388 A      7498 A   
 110.00 MeV   4.337E+01  2.591E-01   17.52 um     6576 A      7624 A   
 120.00 MeV   4.497E+01  2.413E-01   18.49 um     6746 A      7738 A   
 130.00 MeV   4.646E+01  2.260E-01   19.42 um     6899 A      7842 A   
 140.00 MeV   4.785E+01  2.126E-01   20.33 um     7040 A      7937 A   
 150.00 MeV   4.915E+01  2.008E-01   21.21 um     7170 A      8025 A   
 160.00 MeV   5.035E+01  1.904E-01   22.08 um     7291 A      8106 A   
 170.00 MeV   5.147E+01  1.810E-01   22.92 um     7404 A      8182 A   
 180.00 MeV   5.250E+01  1.726E-01   23.74 um     7511 A      8254 A   
 200.00 MeV   5.435E+01  1.581E-01   25.35 um     7874 A      8385 A   
 225.00 MeV   5.628E+01  1.433E-01   27.29 um     8367 A      8531 A   
 250.00 MeV   5.779E+01  1.311E-01   29.17 um     8804 A      8661 A   
 275.00 MeV   5.843E+01  1.210E-01   31.02 um     9205 A      8781 A   
 300.00 MeV   5.918E+01  1.124E-01   32.85 um     9579 A      8892 A   
 325.00 MeV   5.972E+01  1.051E-01   34.66 um     9932 A      8996 A   
 350.00 MeV   6.009E+01  9.866E-02   36.45 um     1.03 um     9094 A   
 375.00 MeV   6.032E+01  9.304E-02   38.24 um     1.06 um     9188 A   
 400.00 MeV   6.042E+01  8.806E-02   40.02 um     1.09 um     9277 A   
 450.00 MeV   6.035E+01  7.964E-02   43.58 um     1.20 um     9447 A   
 500.00 MeV   5.999E+01  7.277E-02   47.15 um     1.31 um     9608 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.3211E+01                 eV / Angstrom 
  2.3211E+02                keV / micron   
  2.3211E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  4.6637E+01                 eV / (1E15 atoms/cm2)
  4.4586E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
