 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\cd106_in_pb208.txt

 Ion = Cadmium [48] , Mass = 113.903 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   3.067E+00  8.213E-01    1.97 um     6664 A      5994 A   
  10.00 MeV   3.386E+00  7.710E-01    2.15 um     7007 A      6417 A   
  11.00 MeV   3.697E+00  7.272E-01    2.33 um     7308 A      6799 A   
  12.00 MeV   3.999E+00  6.888E-01    2.49 um     7573 A      7145 A   
  13.00 MeV   4.292E+00  6.549E-01    2.65 um     7809 A      7461 A   
  14.00 MeV   4.575E+00  6.245E-01    2.80 um     8020 A      7751 A   
  15.00 MeV   4.849E+00  5.972E-01    2.95 um     8209 A      8017 A   
  16.00 MeV   5.112E+00  5.725E-01    3.09 um     8381 A      8264 A   
  17.00 MeV   5.367E+00  5.501E-01    3.22 um     8538 A      8492 A   
  18.00 MeV   5.613E+00  5.295E-01    3.35 um     8681 A      8705 A   
  20.00 MeV   6.080E+00  4.932E-01    3.60 um     8936 A      9091 A   
  22.50 MeV   6.623E+00  4.551E-01    3.90 um     9206 A      9512 A   
  25.00 MeV   7.126E+00  4.231E-01    4.18 um     9434 A      9879 A   
  27.50 MeV   7.596E+00  3.957E-01    4.44 um     9630 A      1.02 um  
  30.00 MeV   8.037E+00  3.721E-01    4.69 um     9800 A      1.05 um  
  32.50 MeV   8.453E+00  3.514E-01    4.94 um     9950 A      1.08 um  
  35.00 MeV   8.849E+00  3.332E-01    5.17 um     1.01 um     1.10 um  
  37.50 MeV   9.227E+00  3.169E-01    5.39 um     1.02 um     1.12 um  
  40.00 MeV   9.589E+00  3.024E-01    5.61 um     1.03 um     1.14 um  
  45.00 MeV   1.027E+01  2.773E-01    6.02 um     1.05 um     1.18 um  
  50.00 MeV   1.091E+01  2.564E-01    6.41 um     1.07 um     1.21 um  
