 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 04, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Lead.txt

 Ion = Krypton [36] , Mass = 78 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   3.644E+00  3.708E-01    2.30 um     7271 A      6992 A   
  10.00 MeV   3.987E+00  3.463E-01    2.48 um     7518 A      7333 A   
  11.00 MeV   4.327E+00  3.252E-01    2.66 um     7729 A      7634 A   
  12.00 MeV   4.662E+00  3.068E-01    2.82 um     7911 A      7902 A   
  13.00 MeV   4.991E+00  2.907E-01    2.97 um     8070 A      8143 A   
  14.00 MeV   5.313E+00  2.764E-01    3.12 um     8208 A      8360 A   
  15.00 MeV   5.627E+00  2.635E-01    3.26 um     8331 A      8556 A   
  16.00 MeV   5.934E+00  2.520E-01    3.39 um     8441 A      8736 A   
  17.00 MeV   6.231E+00  2.416E-01    3.52 um     8539 A      8900 A   
  18.00 MeV   6.520E+00  2.320E-01    3.65 um     8627 A      9051 A   
  20.00 MeV   7.071E+00  2.153E-01    3.88 um     8783 A      9321 A   
  22.50 MeV   7.708E+00  1.979E-01    4.15 um     8945 A      9609 A   
  25.00 MeV   8.292E+00  1.833E-01    4.41 um     9079 A      9855 A   
  27.50 MeV   8.824E+00  1.709E-01    4.65 um     9191 A      1.01 um  
  30.00 MeV   9.311E+00  1.603E-01    4.88 um     9288 A      1.03 um  
  32.50 MeV   9.756E+00  1.510E-01    5.10 um     9373 A      1.04 um  
  35.00 MeV   1.016E+01  1.429E-01    5.31 um     9448 A      1.06 um  
  37.50 MeV   1.054E+01  1.357E-01    5.51 um     9515 A      1.07 um  
  40.00 MeV   1.088E+01  1.292E-01    5.71 um     9575 A      1.08 um  
  45.00 MeV   1.150E+01  1.181E-01    6.09 um     9688 A      1.11 um  
  50.00 MeV   1.203E+01  1.089E-01    6.45 um     9784 A      1.13 um  
  55.00 MeV   1.249E+01  1.012E-01    6.80 um     9868 A      1.14 um  
  60.00 MeV   1.289E+01  9.460E-02    7.14 um     9942 A      1.16 um  
  65.00 MeV   1.325E+01  8.887E-02    7.47 um     1.00 um     1.18 um  
  70.00 MeV   1.357E+01  8.385E-02    7.79 um     1.01 um     1.19 um  
  80.00 MeV   1.412E+01  7.546E-02    8.41 um     1.02 um     1.21 um  
  90.00 MeV   1.457E+01  6.872E-02    9.02 um     1.03 um     1.23 um  
 100.00 MeV   1.494E+01  6.317E-02    9.61 um     1.04 um     1.25 um  
 110.00 MeV   1.526E+01  5.852E-02   10.18 um     1.05 um     1.27 um  
 120.00 MeV   1.554E+01  5.455E-02   10.75 um     1.06 um     1.28 um  
 130.00 MeV   1.577E+01  5.113E-02   11.31 um     1.07 um     1.30 um  
 140.00 MeV   1.598E+01  4.814E-02   11.86 um     1.07 um     1.31 um  
 150.00 MeV   1.615E+01  4.551E-02   12.40 um     1.08 um     1.33 um  
 160.00 MeV   1.635E+01  4.318E-02   12.94 um     1.09 um     1.34 um  
 170.00 MeV   1.656E+01  4.108E-02   13.47 um     1.09 um     1.35 um  
 180.00 MeV   1.670E+01  3.920E-02   14.00 um     1.10 um     1.36 um  
 200.00 MeV   1.691E+01  3.594E-02   15.04 um     1.12 um     1.38 um  
 225.00 MeV   1.711E+01  3.261E-02   16.33 um     1.14 um     1.41 um  
 250.00 MeV   1.722E+01  2.987E-02   17.60 um     1.16 um     1.43 um  
 275.00 MeV   1.728E+01  2.759E-02   18.88 um     1.18 um     1.45 um  
 300.00 MeV   1.729E+01  2.566E-02   20.15 um     1.20 um     1.47 um  
 325.00 MeV   1.727E+01  2.399E-02   21.42 um     1.22 um     1.49 um  
 350.00 MeV   1.722E+01  2.254E-02   22.69 um     1.24 um     1.51 um  
-----------------------------------------------------------
