 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\ti48_in_ti48.txt

 Ion = Titanium [22] , Mass = 47.95 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   8.00 MeV   1.170E+01  2.030E-01    2.56 um     2633 A      3183 A   
   9.00 MeV   1.252E+01  1.856E-01    2.73 um     2679 A      3269 A   
  10.00 MeV   1.326E+01  1.711E-01    2.90 um     2718 A      3343 A   
  11.00 MeV   1.393E+01  1.590E-01    3.06 um     2752 A      3407 A   
  12.00 MeV   1.453E+01  1.486E-01    3.21 um     2781 A      3465 A   
  13.00 MeV   1.509E+01  1.395E-01    3.36 um     2807 A      3516 A   
  14.00 MeV   1.559E+01  1.316E-01    3.50 um     2831 A      3563 A   
  15.00 MeV   1.605E+01  1.247E-01    3.64 um     2853 A      3606 A   
  16.00 MeV   1.647E+01  1.185E-01    3.77 um     2873 A      3646 A   
  17.00 MeV   1.686E+01  1.129E-01    3.90 um     2891 A      3682 A   
  18.00 MeV   1.721E+01  1.079E-01    4.03 um     2908 A      3717 A   
  20.00 MeV   1.782E+01  9.913E-02    4.28 um     2950 A      3779 A   
  22.50 MeV   1.845E+01  9.017E-02    4.58 um     3003 A      3848 A   
  25.00 MeV   1.896E+01  8.280E-02    4.88 um     3051 A      3910 A   
  27.50 MeV   1.936E+01  7.663E-02    5.16 um     3095 A      3965 A   
  30.00 MeV   1.968E+01  7.138E-02    5.45 um     3136 A      4016 A   
  32.50 MeV   1.994E+01  6.685E-02    5.72 um     3175 A      4064 A   
  35.00 MeV   2.015E+01  6.291E-02    6.00 um     3212 A      4108 A   
  37.50 MeV   2.030E+01  5.943E-02    6.27 um     3248 A      4150 A   
  40.00 MeV   2.043E+01  5.635E-02    6.54 um     3282 A      4189 A   
  45.00 MeV   2.058E+01  5.111E-02    7.08 um     3390 A      4263 A   
  50.00 MeV   2.065E+01  4.683E-02    7.61 um     3493 A      4332 A   
  55.00 MeV   2.066E+01  4.325E-02    8.15 um     3591 A      4397 A   
  60.00 MeV   2.063E+01  4.021E-02    8.68 um     3687 A      4458 A   
  65.00 MeV   2.056E+01  3.760E-02    9.21 um     3780 A      4517 A   
  70.00 MeV   2.048E+01  3.533E-02    9.75 um     3871 A      4574 A   
  80.00 MeV   2.025E+01  3.156E-02   10.84 um     4191 A      4683 A   
  90.00 MeV   2.000E+01  2.857E-02   11.93 um     4494 A      4788 A   
