 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\cd106_in_ti48.txt

 Ion = Cadmium [48] , Mass = 113.903 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   9.695E+00  1.423E+00    2.32 um     3047 A      3261 A   
  10.00 MeV   1.056E+01  1.325E+00    2.50 um     3158 A      3437 A   
  11.00 MeV   1.139E+01  1.242E+00    2.68 um     3253 A      3593 A   
  12.00 MeV   1.220E+01  1.170E+00    2.84 um     3334 A      3732 A   
  13.00 MeV   1.298E+01  1.106E+00    3.00 um     3406 A      3857 A   
  14.00 MeV   1.374E+01  1.050E+00    3.15 um     3469 A      3970 A   
  15.00 MeV   1.446E+01  1.000E+00    3.29 um     3525 A      4073 A   
  16.00 MeV   1.515E+01  9.551E-01    3.43 um     3575 A      4167 A   
  17.00 MeV   1.582E+01  9.144E-01    3.56 um     3621 A      4254 A   
  18.00 MeV   1.647E+01  8.775E-01    3.69 um     3662 A      4333 A   
  20.00 MeV   1.768E+01  8.128E-01    3.94 um     3742 A      4476 A   
  22.50 MeV   1.908E+01  7.454E-01    4.22 um     3830 A      4630 A   
  25.00 MeV   2.036E+01  6.893E-01    4.49 um     3904 A      4762 A   
  27.50 MeV   2.154E+01  6.419E-01    4.74 um     3967 A      4878 A   
  30.00 MeV   2.263E+01  6.012E-01    4.98 um     4022 A      4980 A   
  32.50 MeV   2.365E+01  5.658E-01    5.21 um     4071 A      5072 A   
  35.00 MeV   2.459E+01  5.347E-01    5.43 um     4115 A      5155 A   
  37.50 MeV   2.548E+01  5.072E-01    5.65 um     4154 A      5230 A   
  40.00 MeV   2.631E+01  4.826E-01    5.86 um     4190 A      5300 A   
  45.00 MeV   2.783E+01  4.405E-01    6.26 um     4272 A      5423 A   
  50.00 MeV   2.920E+01  4.058E-01    6.64 um     4343 A      5530 A   
  55.00 MeV   3.044E+01  3.766E-01    7.00 um     4406 A      5624 A   
  60.00 MeV   3.157E+01  3.516E-01    7.35 um     4462 A      5709 A   
  65.00 MeV   3.260E+01  3.300E-01    7.69 um     4513 A      5786 A   
  70.00 MeV   3.355E+01  3.111E-01    8.02 um     4560 A      5855 A   
  80.00 MeV   3.524E+01  2.796E-01    8.66 um     4686 A      5979 A   
  90.00 MeV   3.670E+01  2.543E-01    9.27 um     4797 A      6087 A   
 100.00 MeV   3.797E+01  2.336E-01    9.85 um     4896 A      6182 A   
 110.00 MeV   3.909E+01  2.162E-01   10.42 um     4987 A      6267 A   
 120.00 MeV   4.008E+01  2.014E-01   10.98 um     5070 A      6344 A   
 130.00 MeV   4.097E+01  1.886E-01   11.52 um     5147 A      6415 A   
 140.00 MeV   4.176E+01  1.775E-01   12.05 um     5220 A      6481 A   
 150.00 MeV   4.248E+01  1.677E-01   12.58 um     5289 A      6543 A   
 160.00 MeV   4.313E+01  1.590E-01   13.09 um     5354 A      6601 A   
 170.00 MeV   4.372E+01  1.512E-01   13.60 um     5416 A      6655 A   
 180.00 MeV   4.425E+01  1.442E-01   14.10 um     5475 A      6707 A   
 200.00 MeV   4.519E+01  1.321E-01   15.08 um     5674 A      6803 A   
 225.00 MeV   4.616E+01  1.198E-01   16.29 um     5951 A      6912 A   
 250.00 MeV   4.726E+01  1.096E-01   17.47 um     6203 A      7011 A   
 275.00 MeV   4.783E+01  1.012E-01   18.63 um     6437 A      7102 A   
 300.00 MeV   4.845E+01  9.406E-02   19.78 um     6656 A      7188 A   
 325.00 MeV   4.895E+01  8.791E-02   20.91 um     6863 A      7269 A   
 350.00 MeV   4.935E+01  8.257E-02   22.03 um     7060 A      7345 A   
 375.00 MeV   4.965E+01  7.787E-02   23.15 um     7249 A      7417 A   
 400.00 MeV   4.987E+01  7.372E-02   24.26 um     7430 A      7487 A   
 450.00 MeV   5.011E+01  6.668E-02   26.47 um     8084 A      7619 A   
 500.00 MeV   5.012E+01  6.094E-02   28.67 um     8686 A      7744 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  4.5187E+01                 eV / Angstrom 
  4.5187E+02                keV / micron   
  4.5187E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  7.9539E+01                 eV / (1E15 atoms/cm2)
  5.8028E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
