 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 01, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Selenium in Lead.txt

 Ion = Selenium [34] , Mass = 79.92 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2971E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   9.00 MeV   3.777E+00  3.483E-01    2.37 um     7259 A      7047 A   
  10.00 MeV   4.131E+00  3.250E-01    2.55 um     7486 A      7370 A   
  11.00 MeV   4.467E+00  3.051E-01    2.72 um     7679 A      7653 A   
  12.00 MeV   4.785E+00  2.878E-01    2.88 um     7845 A      7906 A   
  13.00 MeV   5.085E+00  2.725E-01    3.03 um     7991 A      8132 A   
  14.00 MeV   5.369E+00  2.590E-01    3.18 um     8120 A      8337 A   
  15.00 MeV   5.639E+00  2.469E-01    3.32 um     8235 A      8524 A   
  16.00 MeV   5.894E+00  2.360E-01    3.45 um     8338 A      8695 A   
  17.00 MeV   6.137E+00  2.262E-01    3.58 um     8432 A      8853 A   
  18.00 MeV   6.368E+00  2.172E-01    3.71 um     8517 A      9000 A   
  20.00 MeV   6.798E+00  2.015E-01    3.95 um     8670 A      9265 A   
  22.50 MeV   7.287E+00  1.851E-01    4.24 um     8832 A      9553 A   
  25.00 MeV   7.730E+00  1.714E-01    4.51 um     8969 A      9803 A   
  27.50 MeV   8.136E+00  1.598E-01    4.77 um     9087 A      1.00 um  
  30.00 MeV   8.511E+00  1.498E-01    5.02 um     9190 A      1.02 um  
  32.50 MeV   8.861E+00  1.411E-01    5.27 um     9281 A      1.04 um  
  35.00 MeV   9.189E+00  1.334E-01    5.50 um     9363 A      1.06 um  
  37.50 MeV   9.499E+00  1.267E-01    5.72 um     9436 A      1.07 um  
  40.00 MeV   9.792E+00  1.206E-01    5.94 um     9503 A      1.09 um  
  45.00 MeV   1.033E+01  1.102E-01    6.37 um     9628 A      1.11 um  
  50.00 MeV   1.083E+01  1.016E-01    6.77 um     9736 A      1.13 um  
  55.00 MeV   1.128E+01  9.439E-02    7.16 um     9831 A      1.15 um  
  60.00 MeV   1.170E+01  8.820E-02    7.53 um     9914 A      1.17 um  
  65.00 MeV   1.209E+01  8.284E-02    7.89 um     9989 A      1.18 um  
  70.00 MeV   1.245E+01  7.815E-02    8.24 um     1.01 um     1.20 um  
  80.00 MeV   1.310E+01  7.031E-02    8.92 um     1.02 um     1.23 um  
  90.00 MeV   1.367E+01  6.401E-02    9.57 um     1.03 um     1.25 um  
 100.00 MeV   1.415E+01  5.883E-02   10.20 um     1.04 um     1.27 um  
 110.00 MeV   1.458E+01  5.448E-02   10.80 um     1.05 um     1.29 um  
 120.00 MeV   1.495E+01  5.078E-02   11.39 um     1.06 um     1.30 um  
 130.00 MeV   1.527E+01  4.759E-02   11.97 um     1.07 um     1.32 um  
 140.00 MeV   1.554E+01  4.480E-02   12.54 um     1.08 um     1.33 um  
 150.00 MeV   1.577E+01  4.235E-02   13.09 um     1.08 um     1.35 um  
 160.00 MeV   1.598E+01  4.017E-02   13.65 um     1.09 um     1.36 um  
 170.00 MeV   1.623E+01  3.822E-02   14.19 um     1.10 um     1.37 um  
 180.00 MeV   1.642E+01  3.646E-02   14.73 um     1.10 um     1.38 um  
 200.00 MeV   1.666E+01  3.343E-02   15.78 um     1.12 um     1.40 um  
 225.00 MeV   1.686E+01  3.032E-02   17.09 um     1.14 um     1.43 um  
 250.00 MeV   1.695E+01  2.777E-02   18.39 um     1.16 um     1.45 um  
 275.00 MeV   1.695E+01  2.565E-02   19.68 um     1.18 um     1.47 um  
 300.00 MeV   1.690E+01  2.385E-02   20.98 um     1.20 um     1.49 um  
 319.68 MeV   1.682E+01  2.261E-02   22.01 um     1.22 um     1.51 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.1343E+02                 eV / Angstrom 
  1.1343E+03                keV / micron   
  1.1343E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.4404E+02                 eV / (1E15 atoms/cm2)
  2.8394E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
