 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 08, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Tin in Platinum.txt

 Ion = Tin [50] , Mass = 112 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5904E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   3.273E+00  8.307E-01    1.09 um     3512 A      3194 A   
  11.00 MeV   3.550E+00  7.836E-01    1.19 um     3678 A      3400 A   
  12.00 MeV   3.821E+00  7.423E-01    1.28 um     3827 A      3589 A   
  13.00 MeV   4.086E+00  7.057E-01    1.36 um     3960 A      3763 A   
  14.00 MeV   4.344E+00  6.730E-01    1.45 um     4079 A      3924 A   
  15.00 MeV   4.596E+00  6.436E-01    1.53 um     4188 A      4073 A   
  16.00 MeV   4.841E+00  6.170E-01    1.60 um     4287 A      4212 A   
  17.00 MeV   5.080E+00  5.928E-01    1.68 um     4377 A      4341 A   
  18.00 MeV   5.313E+00  5.706E-01    1.75 um     4460 A      4462 A   
  20.00 MeV   5.760E+00  5.316E-01    1.89 um     4609 A      4682 A   
  22.50 MeV   6.285E+00  4.905E-01    2.05 um     4766 A      4923 A   
  25.00 MeV   6.779E+00  4.560E-01    2.21 um     4900 A      5134 A   
  27.50 MeV   7.242E+00  4.265E-01    2.35 um     5014 A      5321 A   
  30.00 MeV   7.680E+00  4.011E-01    2.49 um     5114 A      5487 A   
  32.50 MeV   8.095E+00  3.788E-01    2.62 um     5201 A      5638 A   
  35.00 MeV   8.491E+00  3.591E-01    2.75 um     5279 A      5775 A   
  37.50 MeV   8.869E+00  3.416E-01    2.87 um     5349 A      5900 A   
  40.00 MeV   9.232E+00  3.259E-01    2.99 um     5412 A      6015 A   
  45.00 MeV   9.919E+00  2.989E-01    3.22 um     5525 A      6220 A   
  50.00 MeV   1.056E+01  2.764E-01    3.43 um     5620 A      6398 A   
  55.00 MeV   1.118E+01  2.574E-01    3.63 um     5702 A      6555 A   
  60.00 MeV   1.176E+01  2.410E-01    3.82 um     5773 A      6695 A   
  65.00 MeV   1.233E+01  2.268E-01    4.01 um     5835 A      6820 A   
  70.00 MeV   1.287E+01  2.144E-01    4.19 um     5890 A      6934 A   
  80.00 MeV   1.391E+01  1.935E-01    4.52 um     5993 A      7132 A   
  90.00 MeV   1.488E+01  1.766E-01    4.83 um     6077 A      7300 A   
 100.00 MeV   1.579E+01  1.627E-01    5.13 um     6148 A      7444 A   
 110.00 MeV   1.665E+01  1.510E-01    5.41 um     6209 A      7571 A   
 120.00 MeV   1.745E+01  1.410E-01    5.68 um     6262 A      7683 A   
 130.00 MeV   1.820E+01  1.323E-01    5.93 um     6309 A      7784 A   
 140.00 MeV   1.890E+01  1.247E-01    6.18 um     6351 A      7874 A   
 150.00 MeV   1.955E+01  1.180E-01    6.42 um     6389 A      7957 A   
 160.00 MeV   2.015E+01  1.121E-01    6.65 um     6423 A      8033 A   
 170.00 MeV   2.072E+01  1.068E-01    6.88 um     6455 A      8103 A   
 180.00 MeV   2.124E+01  1.020E-01    7.10 um     6484 A      8169 A   
 200.00 MeV   2.218E+01  9.363E-02    7.52 um     6550 A      8287 A   
 225.00 MeV   2.317E+01  8.508E-02    8.03 um     6630 A      8416 A   
 250.00 MeV   2.417E+01  7.807E-02    8.52 um     6700 A      8529 A   
 275.00 MeV   2.489E+01  7.220E-02    8.99 um     6764 A      8630 A   
 300.00 MeV   2.545E+01  6.721E-02    9.45 um     6822 A      8721 A   
 325.00 MeV   2.590E+01  6.291E-02    9.90 um     6876 A      8805 A   
 350.00 MeV   2.627E+01  5.917E-02   10.34 um     6927 A      8883 A   
 375.00 MeV   2.657E+01  5.588E-02   10.78 um     6976 A      8956 A   
 400.00 MeV   2.680E+01  5.296E-02   11.22 um     7023 A      9025 A   
 450.00 MeV   2.713E+01  4.800E-02   12.08 um     7163 A      9153 A   
 500.00 MeV   2.732E+01  4.395E-02   12.93 um     7296 A      9270 A   
 550.00 MeV   2.740E+01  4.056E-02   13.78 um     7423 A      9379 A   
 600.00 MeV   2.741E+01  3.770E-02   14.63 um     7547 A      9482 A   
 650.00 MeV   2.737E+01  3.523E-02   15.48 um     7668 A      9580 A   
 700.00 MeV   2.729E+01  3.309E-02   16.33 um     7787 A      9675 A   
 800.00 MeV   2.705E+01  2.954E-02   18.04 um     8199 A      9854 A   
 900.00 MeV   2.675E+01  2.672E-02   19.77 um     8598 A      1.00 um  
   1.00 GeV   2.640E+01  2.442E-02   21.52 um     8987 A      1.02 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  2.1449E+02                 eV / Angstrom 
  2.1449E+03                keV / micron   
  2.1449E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.2546E+02                 eV / (1E15 atoms/cm2)
  1.5301E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
