 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 08, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Platinum in Platinum.txt

 Ion = Platinum [78] , Mass = 195.965 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5916E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.20 MeV   1.270E+00  4.969E+00     704 A       328 A       232 A   
   1.30 MeV   1.319E+00  4.924E+00     758 A       350 A       247 A   
   1.40 MeV   1.366E+00  4.878E+00     813 A       372 A       262 A   
   1.50 MeV   1.412E+00  4.830E+00     868 A       394 A       277 A   
   1.60 MeV   1.456E+00  4.782E+00     924 A       416 A       291 A   
   1.70 MeV   1.498E+00  4.734E+00     980 A       437 A       306 A   
   1.80 MeV   1.540E+00  4.686E+00    1036 A       459 A       321 A   
   2.00 MeV   1.619E+00  4.590E+00    1149 A       501 A       350 A   
   2.25 MeV   1.713E+00  4.474E+00    1293 A       554 A       387 A   
   2.50 MeV   1.802E+00  4.362E+00    1438 A       606 A       424 A   
   2.75 MeV   1.886E+00  4.255E+00    1584 A       657 A       461 A   
   3.00 MeV   1.967E+00  4.152E+00    1732 A       708 A       498 A   
   3.25 MeV   2.044E+00  4.055E+00    1882 A       758 A       535 A   
   3.50 MeV   2.117E+00  3.963E+00    2033 A       808 A       572 A   
   3.75 MeV   2.188E+00  3.874E+00    2185 A       857 A       608 A   
   4.00 MeV   2.255E+00  3.791E+00    2338 A       905 A       645 A   
   4.50 MeV   2.383E+00  3.635E+00    2648 A      1001 A       720 A   
   5.00 MeV   2.502E+00  3.493E+00    2961 A      1095 A       794 A   
   5.50 MeV   2.613E+00  3.363E+00    3278 A      1186 A       868 A   
   6.00 MeV   2.718E+00  3.244E+00    3598 A      1276 A       942 A   
   6.50 MeV   2.817E+00  3.135E+00    3920 A      1364 A      1016 A   
   7.00 MeV   2.911E+00  3.034E+00    4245 A      1451 A      1090 A   
   8.00 MeV   3.088E+00  2.853E+00    4899 A      1618 A      1236 A   
   9.00 MeV   3.252E+00  2.696E+00    5560 A      1780 A      1382 A   
  10.00 MeV   3.407E+00  2.558E+00    6224 A      1935 A      1526 A   
  11.00 MeV   3.556E+00  2.436E+00    6889 A      2084 A      1667 A   
  12.00 MeV   3.701E+00  2.327E+00    7556 A      2227 A      1807 A   
  13.00 MeV   3.843E+00  2.228E+00    8222 A      2365 A      1944 A   
  14.00 MeV   3.985E+00  2.139E+00    8886 A      2497 A      2079 A   
  15.00 MeV   4.126E+00  2.058E+00    9547 A      2624 A      2212 A   
  16.00 MeV   4.267E+00  1.984E+00    1.02 um     2746 A      2342 A   
  17.00 MeV   4.409E+00  1.915E+00    1.09 um     2862 A      2469 A   
  18.00 MeV   4.552E+00  1.852E+00    1.15 um     2975 A      2593 A   
  20.00 MeV   4.843E+00  1.740E+00    1.28 um     3187 A      2833 A   
  22.50 MeV   5.217E+00  1.619E+00    1.43 um     3428 A      3117 A   
  25.00 MeV   5.601E+00  1.517E+00    1.58 um     3645 A      3383 A   
  27.50 MeV   5.995E+00  1.428E+00    1.73 um     3840 A      3631 A   
  30.00 MeV   6.397E+00  1.350E+00    1.87 um     4015 A      3863 A   
  32.50 MeV   6.806E+00  1.282E+00    2.01 um     4172 A      4078 A   
  35.00 MeV   7.219E+00  1.221E+00    2.14 um     4315 A      4279 A   
  37.50 MeV   7.635E+00  1.166E+00    2.26 um     4443 A      4466 A   
  40.00 MeV   8.052E+00  1.117E+00    2.38 um     4560 A      4640 A   
  45.00 MeV   8.885E+00  1.031E+00    2.61 um     4768 A      4955 A   
  50.00 MeV   9.707E+00  9.586E-01    2.82 um     4942 A      5231 A   
  55.00 MeV   1.051E+01  8.970E-01    3.02 um     5089 A      5474 A   
  60.00 MeV   1.130E+01  8.437E-01    3.21 um     5216 A      5690 A   
  65.00 MeV   1.206E+01  7.970E-01    3.39 um     5326 A      5883 A   
  70.00 MeV   1.280E+01  7.558E-01    3.56 um     5422 A      6057 A   
  80.00 MeV   1.421E+01  6.862E-01    3.87 um     5591 A      6358 A   
  90.00 MeV   1.553E+01  6.295E-01    4.16 um     5727 A      6610 A   
 100.00 MeV   1.677E+01  5.823E-01    4.43 um     5839 A      6826 A   
 110.00 MeV   1.793E+01  5.423E-01    4.69 um     5933 A      7012 A   
 120.00 MeV   1.903E+01  5.080E-01    4.93 um     6014 A      7175 A   
 130.00 MeV   2.007E+01  4.782E-01    5.15 um     6084 A      7321 A   
 140.00 MeV   2.105E+01  4.520E-01    5.37 um     6146 A      7451 A   
 150.00 MeV   2.198E+01  4.288E-01    5.58 um     6201 A      7568 A   
 160.00 MeV   2.286E+01  4.081E-01    5.78 um     6250 A      7675 A   
 170.00 MeV   2.369E+01  3.894E-01    5.97 um     6294 A      7773 A   
 180.00 MeV   2.449E+01  3.726E-01    6.16 um     6335 A      7863 A   
 200.00 MeV   2.596E+01  3.433E-01    6.52 um     6416 A      8024 A   
 225.00 MeV   2.761E+01  3.130E-01    6.95 um     6507 A      8196 A   
 250.00 MeV   2.906E+01  2.881E-01    7.35 um     6585 A      8345 A   
 275.00 MeV   3.035E+01  2.671E-01    7.74 um     6652 A      8475 A   
 300.00 MeV   3.149E+01  2.492E-01    8.11 um     6713 A      8591 A   
 325.00 MeV   3.250E+01  2.338E-01    8.47 um     6767 A      8696 A   
 350.00 MeV   3.339E+01  2.203E-01    8.81 um     6816 A      8791 A   
 375.00 MeV   3.419E+01  2.084E-01    9.16 um     6862 A      8879 A   
 400.00 MeV   3.497E+01  1.978E-01    9.49 um     6904 A      8960 A   
 450.00 MeV   3.643E+01  1.798E-01   10.13 um     7010 A      9105 A   
 500.00 MeV   3.743E+01  1.650E-01   10.76 um     7106 A      9234 A   
 550.00 MeV   3.822E+01  1.526E-01   11.37 um     7194 A      9350 A   
 600.00 MeV   3.886E+01  1.421E-01   11.97 um     7275 A      9457 A   
 650.00 MeV   3.937E+01  1.330E-01   12.56 um     7353 A      9555 A   
 700.00 MeV   3.979E+01  1.251E-01   13.15 um     7426 A      9647 A   
 800.00 MeV   4.041E+01  1.120E-01   14.31 um     7652 A      9816 A   
