 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 08, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Platinum.txt

 Ion = Silicon [14] , Mass = 31.974 amu

 Target Density =  2.1450E+01 g/cm3 = 6.5916E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pt     78    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.10 MeV   1.048E+00  1.364E-01    3612 A      1817 A      1579 A   
   1.20 MeV   1.118E+00  1.301E-01    3890 A      1891 A      1659 A   
   1.30 MeV   1.184E+00  1.244E-01    4160 A      1958 A      1733 A   
   1.40 MeV   1.248E+00  1.192E-01    4422 A      2020 A      1803 A   
   1.50 MeV   1.309E+00  1.146E-01    4678 A      2077 A      1868 A   
   1.60 MeV   1.368E+00  1.103E-01    4928 A      2129 A      1930 A   
   1.70 MeV   1.425E+00  1.064E-01    5172 A      2178 A      1988 A   
   1.80 MeV   1.479E+00  1.028E-01    5411 A      2223 A      2043 A   
   2.00 MeV   1.583E+00  9.640E-02    5875 A      2305 A      2144 A   
   2.25 MeV   1.704E+00  8.957E-02    6430 A      2395 A      2259 A   
   2.50 MeV   1.817E+00  8.376E-02    6962 A      2473 A      2362 A   
   2.75 MeV   1.924E+00  7.875E-02    7473 A      2542 A      2455 A   
   3.00 MeV   2.026E+00  7.439E-02    7966 A      2603 A      2541 A   
   3.25 MeV   2.123E+00  7.054E-02    8442 A      2657 A      2619 A   
   3.50 MeV   2.217E+00  6.712E-02    8903 A      2707 A      2692 A   
   3.75 MeV   2.307E+00  6.405E-02    9350 A      2752 A      2759 A   
   4.00 MeV   2.395E+00  6.129E-02    9785 A      2792 A      2822 A   
   4.50 MeV   2.562E+00  5.650E-02    1.06 um     2866 A      2936 A   
   5.00 MeV   2.719E+00  5.248E-02    1.14 um     2928 A      3037 A   
   5.50 MeV   2.868E+00  4.906E-02    1.22 um     2983 A      3128 A   
   6.00 MeV   3.008E+00  4.610E-02    1.29 um     3030 A      3210 A   
   6.50 MeV   3.141E+00  4.352E-02    1.36 um     3073 A      3285 A   
   7.00 MeV   3.266E+00  4.124E-02    1.43 um     3111 A      3353 A   
   8.00 MeV   3.495E+00  3.739E-02    1.56 um     3179 A      3476 A   
   9.00 MeV   3.697E+00  3.427E-02    1.68 um     3237 A      3582 A   
  10.00 MeV   3.877E+00  3.167E-02    1.80 um     3286 A      3677 A   
  11.00 MeV   4.035E+00  2.948E-02    1.91 um     3329 A      3761 A   
