 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 04, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Lead in Lead.txt

 Ion = Lead [82] , Mass = 208 amu

 Target Density =  1.1344E+01 g/cm3 = 3.2842E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Pb     82    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   3.322E+00  2.784E+00    1.13 um     3608 A      2791 A   
  11.00 MeV   3.457E+00  2.655E+00    1.25 um     3896 A      3056 A   
  12.00 MeV   3.590E+00  2.539E+00    1.38 um     4175 A      3318 A   
  13.00 MeV   3.723E+00  2.435E+00    1.50 um     4444 A      3577 A   
  14.00 MeV   3.857E+00  2.341E+00    1.62 um     4703 A      3832 A   
  15.00 MeV   3.992E+00  2.254E+00    1.74 um     4953 A      4084 A   
  16.00 MeV   4.131E+00  2.175E+00    1.87 um     5194 A      4332 A   
  17.00 MeV   4.273E+00  2.102E+00    1.99 um     5425 A      4575 A   
  18.00 MeV   4.418E+00  2.034E+00    2.11 um     5647 A      4814 A   
  20.00 MeV   4.720E+00  1.914E+00    2.35 um     6067 A      5277 A   
  22.50 MeV   5.119E+00  1.784E+00    2.64 um     6545 A      5827 A   
  25.00 MeV   5.540E+00  1.673E+00    2.92 um     6973 A      6342 A   
  27.50 MeV   5.978E+00  1.577E+00    3.18 um     7355 A      6822 A   
  30.00 MeV   6.431E+00  1.493E+00    3.44 um     7696 A      7269 A   
  32.50 MeV   6.895E+00  1.418E+00    3.69 um     8002 A      7683 A   
  35.00 MeV   7.367E+00  1.352E+00    3.93 um     8276 A      8068 A   
  37.50 MeV   7.842E+00  1.292E+00    4.15 um     8522 A      8424 A   
  40.00 MeV   8.320E+00  1.238E+00    4.37 um     8744 A      8755 A   
  45.00 MeV   9.272E+00  1.145E+00    4.78 um     9134 A      9349 A   
  50.00 MeV   1.021E+01  1.065E+00    5.16 um     9458 A      9865 A   
  55.00 MeV   1.112E+01  9.979E-01    5.52 um     9731 A      1.03 um  
  60.00 MeV   1.201E+01  9.393E-01    5.85 um     9963 A      1.07 um  
  65.00 MeV   1.287E+01  8.879E-01    6.17 um     1.02 um     1.11 um  
  70.00 MeV   1.369E+01  8.425E-01    6.46 um     1.03 um     1.14 um  
  80.00 MeV   1.524E+01  7.657E-01    7.02 um     1.06 um     1.19 um  
  90.00 MeV   1.667E+01  7.031E-01    7.53 um     1.09 um     1.24 um  
 100.00 MeV   1.799E+01  6.509E-01    8.00 um     1.11 um     1.28 um  
 110.00 MeV   1.921E+01  6.066E-01    8.45 um     1.13 um     1.31 um  
 120.00 MeV   2.035E+01  5.686E-01    8.87 um     1.14 um     1.34 um  
 130.00 MeV   2.140E+01  5.355E-01    9.27 um     1.15 um     1.37 um  
 140.00 MeV   2.239E+01  5.064E-01    9.66 um     1.16 um     1.39 um  
 150.00 MeV   2.331E+01  4.806E-01   10.03 um     1.17 um     1.41 um  
 160.00 MeV   2.418E+01  4.575E-01   10.38 um     1.18 um     1.43 um  
 170.00 MeV   2.500E+01  4.368E-01   10.73 um     1.19 um     1.45 um  
 180.00 MeV   2.577E+01  4.180E-01   11.07 um     1.20 um     1.47 um  
 200.00 MeV   2.719E+01  3.853E-01   11.71 um     1.21 um     1.50 um  
 225.00 MeV   2.878E+01  3.516E-01   12.48 um     1.23 um     1.53 um  
 250.00 MeV   3.019E+01  3.238E-01   13.21 um     1.24 um     1.56 um  
 275.00 MeV   3.144E+01  3.004E-01   13.91 um     1.26 um     1.58 um  
 300.00 MeV   3.256E+01  2.804E-01   14.59 um     1.27 um     1.60 um  
 325.00 MeV   3.357E+01  2.631E-01   15.25 um     1.28 um     1.62 um  
 350.00 MeV   3.449E+01  2.480E-01   15.88 um     1.29 um     1.64 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.1343E+02                 eV / Angstrom 
  1.1343E+03                keV / micron   
  1.1343E+03                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  3.4539E+02                 eV / (1E15 atoms/cm2)
  7.4597E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
