 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> August 13, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\w184_in_ti48.txt

 Ion = Tungsten [74] , Mass = 183.951 amu

 Target Density =  4.5189E+00 g/cm3 = 5.6812E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ti     22    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.009E+01  3.733E+00    1.57 um     1963 A      1934 A   
  11.00 MeV   1.057E+01  3.528E+00    1.73 um     2085 A      2083 A   
  12.00 MeV   1.107E+01  3.347E+00    1.88 um     2198 A      2226 A   
  13.00 MeV   1.159E+01  3.187E+00    2.02 um     2302 A      2363 A   
  14.00 MeV   1.212E+01  3.043E+00    2.17 um     2399 A      2493 A   
  15.00 MeV   1.266E+01  2.913E+00    2.31 um     2488 A      2616 A   
  16.00 MeV   1.321E+01  2.796E+00    2.45 um     2571 A      2734 A   
  17.00 MeV   1.376E+01  2.689E+00    2.58 um     2648 A      2845 A   
  18.00 MeV   1.431E+01  2.591E+00    2.71 um     2720 A      2951 A   
  20.00 MeV   1.542E+01  2.417E+00    2.96 um     2859 A      3148 A   
  22.50 MeV   1.680E+01  2.234E+00    3.25 um     3013 A      3368 A   
  25.00 MeV   1.816E+01  2.080E+00    3.53 um     3143 A      3563 A   
  27.50 MeV   1.949E+01  1.948E+00    3.79 um     3256 A      3737 A   
  30.00 MeV   2.077E+01  1.834E+00    4.04 um     3353 A      3894 A   
  32.50 MeV   2.202E+01  1.733E+00    4.27 um     3439 A      4035 A   
  35.00 MeV   2.323E+01  1.645E+00    4.50 um     3515 A      4163 A   
  37.50 MeV   2.441E+01  1.566E+00    4.71 um     3582 A      4280 A   
  40.00 MeV   2.554E+01  1.495E+00    4.92 um     3643 A      4387 A   
  45.00 MeV   2.769E+01  1.373E+00    5.31 um     3769 A      4577 A   
  50.00 MeV   2.970E+01  1.271E+00    5.67 um     3873 A      4741 A   
  55.00 MeV   3.159E+01  1.184E+00    6.02 um     3963 A      4885 A   
  60.00 MeV   3.336E+01  1.110E+00    6.35 um     4041 A      5012 A   
  65.00 MeV   3.502E+01  1.046E+00    6.66 um     4109 A      5125 A   
  70.00 MeV   3.658E+01  9.888E-01    6.96 um     4170 A      5228 A   
  80.00 MeV   3.944E+01  8.934E-01    7.52 um     4311 A      5406 A   
  90.00 MeV   4.200E+01  8.163E-01    8.05 um     4429 A      5557 A   
 100.00 MeV   4.428E+01  7.525E-01    8.55 um     4531 A      5688 A   
 110.00 MeV   4.634E+01  6.988E-01    9.03 um     4620 A      5803 A   
 120.00 MeV   4.820E+01  6.529E-01    9.49 um     4699 A      5906 A   
 130.00 MeV   4.988E+01  6.131E-01    9.93 um     4770 A      5998 A   
 140.00 MeV   5.142E+01  5.783E-01   10.37 um     4835 A      6082 A   
 150.00 MeV   5.282E+01  5.476E-01   10.78 um     4896 A      6160 A   
 160.00 MeV   5.410E+01  5.202E-01   11.19 um     4952 A      6232 A   
 170.00 MeV   5.527E+01  4.957E-01   11.59 um     5004 A      6298 A   
 180.00 MeV   5.635E+01  4.735E-01   11.99 um     5053 A      6361 A   
 200.00 MeV   5.828E+01  4.351E-01   12.75 um     5201 A      6475 A   
 225.00 MeV   6.031E+01  3.957E-01   13.67 um     5398 A      6601 A   
 250.00 MeV   6.202E+01  3.633E-01   14.57 um     5575 A      6714 A   
 275.00 MeV   6.347E+01  3.361E-01   15.45 um     5738 A      6816 A   
 300.00 MeV   6.471E+01  3.130E-01   16.31 um     5888 A      6910 A   
 325.00 MeV   6.579E+01  2.932E-01   17.15 um     6029 A      6996 A   
 350.00 MeV   6.672E+01  2.758E-01   17.98 um     6162 A      7077 A   
 375.00 MeV   6.768E+01  2.605E-01   18.80 um     6288 A      7153 A   
 400.00 MeV   6.871E+01  2.470E-01   19.61 um     6408 A      7225 A   
 450.00 MeV   6.985E+01  2.240E-01   21.20 um     6820 A      7358 A   
 500.00 MeV   7.099E+01  2.052E-01   22.76 um     7196 A      7479 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  4.5187E+01                 eV / Angstrom 
  4.5187E+02                keV / micron   
  4.5187E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  7.9539E+01                 eV / (1E15 atoms/cm2)
  3.6734E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
