 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> July 02, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\pb208_in_si14.txt

 Ion = Lead [82] , Mass = 207.977 amu

 Target Density =  2.3212E+00 g/cm3 = 4.9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   1.588E+01  5.673E+00    2.09 um     1907 A      1965 A   
  11.00 MeV   1.633E+01  5.372E+00    2.28 um     2022 A      2104 A   
  12.00 MeV   1.676E+01  5.106E+00    2.48 um     2130 A      2239 A   
  13.00 MeV   1.715E+01  4.869E+00    2.67 um     2232 A      2369 A   
  14.00 MeV   1.753E+01  4.657E+00    2.86 um     2328 A      2495 A   
  15.00 MeV   1.791E+01  4.464E+00    3.05 um     2421 A      2617 A   
  16.00 MeV   1.828E+01  4.290E+00    3.24 um     2509 A      2735 A   
  17.00 MeV   1.866E+01  4.130E+00    3.43 um     2592 A      2850 A   
  18.00 MeV   1.904E+01  3.983E+00    3.62 um     2673 A      2961 A   
  20.00 MeV   1.983E+01  3.723E+00    3.98 um     2845 A      3173 A   
  22.50 MeV   2.085E+01  3.448E+00    4.43 um     3051 A      3420 A   
  25.00 MeV   2.193E+01  3.215E+00    4.86 um     3234 A      3649 A   
  27.50 MeV   2.304E+01  3.016E+00    5.28 um     3397 A      3861 A   
  30.00 MeV   2.417E+01  2.842E+00    5.68 um     3543 A      4057 A   
  32.50 MeV   2.533E+01  2.690E+00    6.07 um     3675 A      4239 A   
  35.00 MeV   2.649E+01  2.555E+00    6.44 um     3793 A      4407 A   
  37.50 MeV   2.766E+01  2.435E+00    6.80 um     3901 A      4564 A   
  40.00 MeV   2.881E+01  2.326E+00    7.15 um     3999 A      4710 A   
  45.00 MeV   3.109E+01  2.139E+00    7.82 um     4223 A      4974 A   
  50.00 MeV   3.329E+01  1.983E+00    8.44 um     4411 A      5206 A   
  55.00 MeV   3.541E+01  1.850E+00    9.03 um     4573 A      5411 A   
  60.00 MeV   3.744E+01  1.736E+00    9.59 um     4713 A      5595 A   
  65.00 MeV   3.938E+01  1.636E+00   10.13 um     4837 A      5761 A   
  70.00 MeV   4.123E+01  1.549E+00   10.64 um     4947 A      5911 A   
  80.00 MeV   4.469E+01  1.401E+00   11.61 um     5225 A      6174 A   
  90.00 MeV   4.786E+01  1.282E+00   12.51 um     5454 A      6398 A   
 100.00 MeV   5.076E+01  1.183E+00   13.36 um     5647 A      6592 A   
 110.00 MeV   5.345E+01  1.099E+00   14.17 um     5815 A      6763 A   
 120.00 MeV   5.594E+01  1.028E+00   14.94 um     5963 A      6915 A   
 130.00 MeV   5.827E+01  9.656E-01   15.68 um     6095 A      7051 A   
 140.00 MeV   6.044E+01  9.113E-01   16.39 um     6214 A      7175 A   
 150.00 MeV   6.247E+01  8.633E-01   17.08 um     6322 A      7289 A   
 160.00 MeV   6.439E+01  8.206E-01   17.75 um     6422 A      7393 A   
 170.00 MeV   6.620E+01  7.822E-01   18.40 um     6514 A      7490 A   
 180.00 MeV   6.791E+01  7.476E-01   19.03 um     6600 A      7580 A   
 200.00 MeV   7.105E+01  6.875E-01   20.26 um     6867 A      7743 A   
 225.00 MeV   7.456E+01  6.256E-01   21.72 um     7216 A      7921 A   
 250.00 MeV   7.766E+01  5.748E-01   23.13 um     7520 A      8077 A   
 275.00 MeV   8.041E+01  5.322E-01   24.48 um     7791 A      8217 A   
 300.00 MeV   8.287E+01  4.959E-01   25.79 um     8036 A      8343 A   
 325.00 MeV   8.507E+01  4.646E-01   27.06 um     8260 A      8457 A   
 350.00 MeV   8.705E+01  4.373E-01   28.31 um     8467 A      8563 A   
 375.00 MeV   8.882E+01  4.132E-01   29.52 um     8661 A      8661 A   
 400.00 MeV   9.042E+01  3.919E-01   30.72 um     8842 A      8753 A   
 450.00 MeV   9.311E+01  3.556E-01   33.06 um     9471 A      8920 A   
