 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> April 19, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\Lead in Carbon.txt

 Ion = Lead [82] , Mass = 208 amu

 Target Density =  2.2530E+00 g/cm3 = 1.1296E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 MeV   2.053E+01  6.052E+00    1.71 um      983 A       997 A   
  11.00 MeV   2.100E+01  5.721E+00    1.87 um     1050 A      1070 A   
  12.00 MeV   2.146E+01  5.430E+00    2.04 um     1113 A      1140 A   
  13.00 MeV   2.192E+01  5.171E+00    2.20 um     1172 A      1208 A   
  14.00 MeV   2.240E+01  4.939E+00    2.36 um     1227 A      1274 A   
  15.00 MeV   2.288E+01  4.730E+00    2.52 um     1280 A      1337 A   
  16.00 MeV   2.339E+01  4.540E+00    2.68 um     1330 A      1398 A   
  17.00 MeV   2.392E+01  4.367E+00    2.84 um     1377 A      1457 A   
  18.00 MeV   2.447E+01  4.209E+00    3.00 um     1422 A      1515 A   
  20.00 MeV   2.564E+01  3.928E+00    3.30 um     1534 A      1623 A   
  22.50 MeV   2.720E+01  3.632E+00    3.67 um     1673 A      1747 A   
  25.00 MeV   2.888E+01  3.382E+00    4.02 um     1791 A      1860 A   
  27.50 MeV   3.063E+01  3.168E+00    4.35 um     1893 A      1964 A   
  30.00 MeV   3.245E+01  2.983E+00    4.67 um     1983 A      2057 A   
  32.50 MeV   3.431E+01  2.821E+00    4.97 um     2061 A      2143 A   
  35.00 MeV   3.619E+01  2.677E+00    5.27 um     2130 A      2221 A   
