17.968	9.959	4.057	
18.407	-9.849	4.059	
1.83	-19.86	4.066	
-16.125	-10.094	4.058	
-17.534	9.147	4.069	
-0.295	19.847	4.081	
19.358	10.765	15.089	
19.868	-10.617	15.133	
1.892	-21.483	15.126	
-17.614	-10.977	15.147	
-19.042	9.933	15.118	
-0.47	21.471	15.126	
20.944	11.769	30.187	
21.455	-11.562	30.191	
1.893	-23.434	30.229	
-19.31	-11.963	30.22	
-20.868	10.808	30.231	
-0.653	23.353	30.208	
22.081	12.449	46.647	
22.587	-12.19	46.633	
1.851	-24.965	46.651	
-20.86	-12.907	46.694	
-22.339	11.562	46.665	
-0.829	24.889	46.661	
22.383	12.977	65.558	
22.886	-12.505	65.526	
1.474	-25.835	65.569	
-21.831	-13.688	65.597	
-23.08	11.947	65.553	
-0.934	25.768	65.554	
22.525	13.219	82.935	
23.061	-12.61	82.943	
1.294	-26.128	82.948	
-22.081	-13.972	82.94	
-23.342	12.038	82.91	
-0.963	26.014	82.93	
