	1  	20.553	0.029	4.053	
	2  	9.669	-17.174	4.07	
	3  	-10.282	-15.682	4.064	
	4  	-18.331	0.883	4.056	
	5  	-8.376	16.199	4.082	
	6  	11.137	16.58	4.073	
	7  	22.189	0.036	15.139	
	8  	10.35	-18.663	15.111	
	9  	-11.249	-17.044	15.126	
	10 	-19.991	0.945	15.141	
	11 	-9.194	17.593	15.108	
	12 	11.986	18.005	15.103	
	13 	24.007	-0.005	30.204	
	14 	11.166	-20.386	30.215	
	15 	-12.374	-18.665	30.237	
	16 	-21.909	1.081	30.237	
	17 	-10.119	19.264	30.23	
	18 	12.907	19.69	30.201	
	19 	25.341	-0.015	46.665	
	20 	11.718	-21.789	46.663	
	21 	-13.426	-20.158	46.708	
	22 	-23.715	1.184	46.733	
	23 	-10.998	20.858	46.729	
	24 	13.608	21.074	46.655	
	25 	25.9	-0.264	65.556	
	26 	12.087	-22.719	65.604	
	27 	-14.235	-21.317	65.656	
	28 	-25.45	1.239	65.728	
	29 	-11.855	22.425	65.735	
	30 	13.708	21.964	65.582	
	31 	26.14	-0.363	82.949	
	32 	12.097	-23.066	82.942	
	33 	-14.611	-21.696	82.941	
	34 	-26.228	1.373	82.918	
	35 	-12.285	23.074	82.937	
	36 	13.613	22.399	82.92	
	1  	17.968	9.959	4.057	
	2  	18.407	-9.849	4.059	
	3  	1.83	-19.86	4.066	
	4  	-16.125	-10.094	4.058	
	5  	-17.534	9.147	4.069	
	6  	-0.295	19.847	4.081	
	7  	19.358	10.765	15.089	
	8  	19.868	-10.617	15.133	
	9  	1.892	-21.483	15.126	
	10 	-17.614	-10.977	15.147	
	11 	-19.042	9.933	15.118	
	12 	-0.47	21.471	15.126	
	13 	20.944	11.769	30.187	
	14 	21.455	-11.562	30.191	
	15 	1.893	-23.434	30.229	
	16 	-19.31	-11.963	30.22	
	17 	-20.868	10.808	30.231	
	18 	-0.653	23.353	30.208	
	19 	22.081	12.449	46.647	
	20 	22.587	-12.19	46.633	
	21 	1.851	-24.965	46.651	
	22 	-20.86	-12.907	46.694	
	23 	-22.339	11.562	46.665	
	24 	-0.829	24.889	46.661	
	25 	22.383	12.977	65.558	
	26 	22.886	-12.505	65.526	
	27 	1.474	-25.835	65.569	
	28 	-21.831	-13.688	65.597	
	29 	-23.08	11.947	65.553	
	30 	-0.934	25.768	65.554	
	31 	22.525	13.219	82.935	
	32 	23.061	-12.61	82.943	
	33 	1.294	-26.128	82.948	
	34 	-22.081	-13.972	82.94	
	35 	-23.342	12.038	82.91	
	36 	-0.963	26.014	82.93	
