20.553	0.029	4.053	
9.669	-17.174	4.07	
-10.282	-15.682	4.064	
-18.331	0.883	4.056	
-8.376	16.199	4.082	
11.137	16.58	4.073	
22.189	0.036	15.139	
10.35	-18.663	15.111	
-11.249	-17.044	15.126	
-19.991	0.945	15.141	
-9.194	17.593	15.108	
11.986	18.005	15.103	
24.007	-0.005	30.204	
11.166	-20.386	30.215	
-12.374	-18.665	30.237	
-21.909	1.081	30.237	
-10.119	19.264	30.23	
12.907	19.69	30.201	
25.341	-0.015	46.665	
11.718	-21.789	46.663	
-13.426	-20.158	46.708	
-23.715	1.184	46.733	
-10.998	20.858	46.729	
13.608	21.074	46.655	
25.9	-0.264	65.556	
12.087	-22.719	65.604	
-14.235	-21.317	65.656	
-25.45	1.239	65.728	
-11.855	22.425	65.735	
13.708	21.964	65.582	
26.14	-0.363	82.949	
12.097	-23.066	82.942	
-14.611	-21.696	82.941	
-26.228	1.373	82.918	
-12.285	23.074	82.937	
13.613	22.399	82.92	
